
Green buoys:
 0,    41.6903000,    -8.8231199
 1,    41.6914597,    -8.8211700

Area scan small:
 2,    41.6908721,    -8.8231420 
 3,    41.6915660,    -8.8220369 
 4,    41.6907390,    -8.8211099 
 5,    41.6900449,    -8.8222149 
 6,    41.6904579,    -8.8226779 
 7,    41.6908049,    -8.8221249 
10,    41.6903920,    -8.8216619

Area scan large:
11,    41.6890799,    -8.8262499
12,    41.6900049,    -8.8247769
13,    41.6889019,    -8.8235410
14,    41.6879759,    -8.8250139
15,    41.6885279,    -8.8256309
16,    41.6889910,    -8.8248940
19,    41.6884390,    -8.8242770
