mag_x,mag_y,mag_z,acc_x,acc_y,acc_z
-1168,2031,876,1440,629,-14659
-1168,2031,876,1563,582,-14637
-1163,2033,865,1409,617,-14679
-1168,2037,871,1386,600,-14799
-1168,2037,871,1427,665,-14605
-1173,2035,874,1542,684,-14583
-1174,2044,868,1374,505,-14771
-1174,2044,868,1462,489,-14630
-1172,2040,864,1533,401,-14757
-1173,2048,857,1576,524,-14353
-1173,2048,857,1342,706,-14938
-1177,2054,863,1378,642,-14411
-1177,2066,853,1418,596,-14612
-1177,2066,853,1620,366,-14543
-1152,2072,819,1681,309,-14671
-1159,2053,848,1557,265,-14727
-1159,2053,848,1200,478,-14721
-1151,2048,869,1462,395,-14806
-1146,2026,889,1398,703,-14625
-1146,2026,889,1948,1111,-14733
-1150,2003,901,1603,784,-14633
-1144,2024,880,1433,622,-14696
-1144,2024,880,1639,542,-14731
-1143,2027,880,1602,593,-14599
-1148,2019,889,1648,928,-14686
-1148,2019,889,1262,840,-14638
-1132,2037,874,1202,1012,-14767
-1083,2015,871,1015,1408,-14260
-1083,2015,871,1472,1379,-14636
-1012,2020,883,1283,1199,-14277
-883,2012,863,1778,1029,-15069
-883,2012,863,1249,768,-15262
-766,2022,844,57,-263,-14526
-656,1980,830,1164,-570,-14022
-656,1980,830,1017,94,-13028
-532,1860,853,392,-1148,-19233
-428,1672,918,1021,744,-12838
-428,1672,918,788,529,-14038
-317,1453,980,1110,1503,-14707
-214,1351,965,1328,2370,-13539
-214,1351,965,839,1116,-15450
-118,1251,945,441,722,-16091
-23,1088,940,1738,-756,-14653
-23,1088,940,521,-781,-14476
-1,915,966,493,-39,-14878
2,667,983,1004,326,-13771
2,667,983,1179,713,-14828
29,387,986,554,517,-15249
5,147,973,1010,868,-13203
5,147,973,1992,-274,-14810
-87,-41,975,1322,653,-14458
-139,-177,993,2203,508,-17205
-139,-177,993,1417,105,-12727
-292,-365,1013,720,-371,-16285
-445,-591,986,1181,404,-13958
-445,-591,986,269,874,-14667
-619,-795,968,503,429,-14745
-554,-922,955,1673,-698,-15695
-810,-922,955,1997,-47,-13978
-1037,-1030,943,1159,502,-14190
-1037,-1127,932,601,796,-13481
-1228,-1127,932,1208,1243,-14659
-1412,-1154,881,716,1217,-15147
-1412,-1129,882,576,-12,-17931
-1636,-1129,882,226,-84,-15751
-1940,-1097,844,726,-1156,-13250
-1940,-1097,802,1335,304,-14005
-2165,-1031,802,1340,269,-13303
-2352,-957,710,1203,-795,-16648
-2352,-957,732,1079,1316,-15532
-2515,-835,732,1841,1196,-12206
-2654,-658,731,873,944,-14427
-2654,-658,731,1171,872,-14691
-2765,-449,746,1536,-10,-15730
-2868,-229,724,1668,98,-14267
-2868,-229,724,1477,174,-12894
-2943,-58,704,806,1293,-13855
-2947,121,720,547,2412,-14855
-2947,121,720,1879,-132,-17178
-2953,365,723,1263,-87,-16112
-2964,592,737,744,675,-12350
-2964,592,737,433,1196,-15224
-2930,816,681,405,1496,-14823
-2787,1045,763,1848,531,-13892
-2787,1045,763,593,954,-15762
-2651,1282,774,1252,1099,-14714
-2556,1482,753,477,1243,-12774
-2556,1482,753,646,740,-13920
-2326,1733,761,954,-31,-16681
-2092,1928,756,395,826,-15654
-2092,1928,756,547,-153,-14567
-1896,2032,760,577,-527,-13412
-1634,2066,804,1633,532,-14346
-1634,2066,804,530,1479,-14276
-1380,2050,868,-206,-519,-16930
-1125,2031,876,708,-289,-15838
-1125,2031,876,1527,244,-13569
-940,2042,855,471,491,-14643
-684,1942,832,26,-69,-15483
-684,1942,832,983,4,-14884
-474,1786,887,1668,-241,-13000
-333,1622,923,1140,-61,-13641
-333,1622,923,996,1514,-13526
-187,1480,921,86,1669,-15822
-48,1295,908,583,-1285,-15961
-48,1295,908,158,-1390,-14559
3,1073,915,1080,-1024,-13742
23,826,965,1094,623,-13977
23,826,965,543,-832,-15452
55,524,949,729,624,-16621
0,269,987,1428,1008,-12404
0,269,987,1282,112,-14301
-45,106,984,1909,332,-14493
-86,-40,984,2181,421,-14800
-86,-40,984,1212,740,-14582
-157,-184,1036,1065,-97,-15552
-280,-364,1000,1030,-359,-14214
-280,-364,1000,653,-651,-14254
-398,-545,977,955,1031,-14297
-478,-720,935,421,1296,-15378
-478,-720,935,901,-315,-15643
-610,-839,932,758,-96,-15014
-781,-955,925,1107,1009,-13567
-781,-955,925,545,1585,-14516
-952,-1030,910,1462,1313,-14900
-1120,-1038,936,1912,51,-15039
-1120,-1038,936,800,-480,-14873
-1320,-1069,930,1029,-1045,-14155
-1485,-1099,876,859,-132,-14019
-1485,-1099,876,497,723,-14213
-1634,-1137,866,549,622,-14582
-1793,-1106,857,880,-342,-16554
-1793,-1106,857,935,-337,-14226
-2004,-1046,849,1077,-857,-15098
-2156,-989,836,1166,129,-13202
-2156,-989,836,136,1864,-14297
-2261,-924,821,834,440,-15102
-2396,-807,820,281,-350,-15879
-2396,-807,820,310,-10,-15127
-2549,-683,783,721,328,-13768
-2660,-546,762,977,484,-13624
-2660,-546,762,980,547,-14497
-2742,-391,768,1168,572,-14373
-2763,-233,802,795,1518,-14847
-2763,-233,802,518,1785,-13882
-2828,-67,839,118,300,-13793
-2851,129,790,379,-120,-15438
-2851,129,790,758,521,-14367
-2883,296,777,2,916,-14946
-2874,477,789,355,1370,-14481
-2874,477,789,604,172,-16568
-2834,667,790,1021,151,-13293
-2793,877,803,117,465,-15496
-2793,877,803,230,-156,-14265
-2750,1059,760,44,-46,-14875
-2659,1228,783,880,168,-14532
-2659,1228,783,1132,225,-16027
-2550,1368,797,1172,33,-15069
-2458,1497,795,1091,417,-13366
-2458,1497,795,920,753,-14406
-2345,1628,786,257,1567,-14366
-2215,1747,781,1126,1231,-15246
-2215,1747,781,934,-350,-16139
-2038,1880,788,758,158,-14577
-1888,1943,811,828,778,-14207
-1888,1943,811,894,839,-13995
-1755,1964,837,167,1039,-14818
-1580,1994,859,320,1575,-14700
-1580,1994,859,141,848,-16151
-1413,2013,855,436,699,-14578
-1263,2018,881,726,141,-14974
-1263,2018,881,1198,836,-13695
-1098,1989,891,1470,863,-13977
-909,1978,879,526,1431,-14271
-909,1978,879,1376,222,-15252
-701,1937,846,591,-194,-15581
-516,1850,865,685,-257,-15973
-516,1850,865,1443,-274,-13700
-393,1696,898,637,378,-14288
-248,1497,921,1646,777,-13946
